ID,Display Text,Title,Description,Icon,X,Y,Background,Frame,Is Hidden,Should Announce,Should Show Toast,Parent,Children,Reward Experience,Reward Loot,Reward Recipes,Reward Function
minecraft:recipes/combat/diamond_chestplate,minecraft:recipes/combat/diamond_chestplate§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diamond_chestplate,null
minecraft:recipes/combat/diamond_helmet,minecraft:recipes/combat/diamond_helmet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diamond_helmet,null
minecraft:recipes/combat/diamond_leggings,minecraft:recipes/combat/diamond_leggings§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diamond_leggings,null
minecraft:recipes/combat/diamond_sword,minecraft:recipes/combat/diamond_sword§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diamond_sword,null
minecraft:recipes/combat/golden_boots,minecraft:recipes/combat/golden_boots§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_boots,null
minecraft:recipes/combat/golden_chestplate,minecraft:recipes/combat/golden_chestplate§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_chestplate,null
minecraft:recipes/combat/golden_helmet,minecraft:recipes/combat/golden_helmet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_helmet,null
minecraft:recipes/combat/golden_leggings,minecraft:recipes/combat/golden_leggings§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_leggings,null
minecraft:recipes/combat/golden_sword,minecraft:recipes/combat/golden_sword§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_sword,null
minecraft:recipes/combat/iron_boots,minecraft:recipes/combat/iron_boots§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_boots,null
minecraft:recipes/combat/iron_chestplate,minecraft:recipes/combat/iron_chestplate§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_chestplate,null
minecraft:recipes/combat/iron_helmet,minecraft:recipes/combat/iron_helmet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_helmet,null
minecraft:recipes/combat/iron_leggings,minecraft:recipes/combat/iron_leggings§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_leggings,null
minecraft:recipes/combat/iron_sword,minecraft:recipes/combat/iron_sword§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_sword,null
minecraft:recipes/combat/leather_boots,minecraft:recipes/combat/leather_boots§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:leather_boots,null
minecraft:recipes/combat/leather_chestplate,minecraft:recipes/combat/leather_chestplate§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:leather_chestplate,null
minecraft:recipes/combat/leather_helmet,minecraft:recipes/combat/leather_helmet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:leather_helmet,null
minecraft:recipes/combat/leather_leggings,minecraft:recipes/combat/leather_leggings§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:leather_leggings,null
minecraft:recipes/combat/shield,minecraft:recipes/combat/shield§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:shield,null
minecraft:recipes/combat/spectral_arrow,minecraft:recipes/combat/spectral_arrow§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:spectral_arrow,null
minecraft:recipes/combat/stone_sword,minecraft:recipes/combat/stone_sword§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:stone_sword,null
minecraft:recipes/combat/wooden_sword,minecraft:recipes/combat/wooden_sword§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:wooden_sword,null
minecraft:recipes/decorations/acacia_fence,minecraft:recipes/decorations/acacia_fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:acacia_fence,null
minecraft:recipes/decorations/anvil,minecraft:recipes/decorations/anvil§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:anvil,null
minecraft:recipes/decorations/armor_stand,minecraft:recipes/decorations/armor_stand§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:armor_stand,null
minecraft:recipes/decorations/birch_fence,minecraft:recipes/decorations/birch_fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:birch_fence,null
minecraft:recipes/decorations/black_banner,minecraft:recipes/decorations/black_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_banner,null
minecraft:recipes/decorations/black_bed,minecraft:recipes/decorations/black_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_bed,null
minecraft:recipes/decorations/black_bed_from_white_bed,minecraft:recipes/decorations/black_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_bed_from_white_bed,null
minecraft:recipes/decorations/black_carpet,minecraft:recipes/decorations/black_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_carpet,null
minecraft:recipes/decorations/black_stained_glass_pane,minecraft:recipes/decorations/black_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:black_stained_glass_pane,null
minecraft:recipes/decorations/blue_banner,minecraft:recipes/decorations/blue_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_banner,null
minecraft:recipes/decorations/blue_bed,minecraft:recipes/decorations/blue_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_bed,null
minecraft:recipes/decorations/blue_bed_from_white_bed,minecraft:recipes/decorations/blue_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_bed_from_white_bed,null
minecraft:recipes/decorations/blue_carpet,minecraft:recipes/decorations/blue_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_carpet,null
minecraft:recipes/decorations/blue_stained_glass_pane,minecraft:recipes/decorations/blue_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:blue_stained_glass_pane,null
minecraft:recipes/decorations/brown_banner,minecraft:recipes/decorations/brown_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_banner,null
minecraft:recipes/decorations/brown_bed,minecraft:recipes/decorations/brown_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_bed,null
minecraft:recipes/decorations/brown_bed_from_white_bed,minecraft:recipes/decorations/brown_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_bed_from_white_bed,null
minecraft:recipes/decorations/brown_carpet,minecraft:recipes/decorations/brown_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_carpet,null
minecraft:recipes/decorations/brown_stained_glass_pane,minecraft:recipes/decorations/brown_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:brown_stained_glass_pane,null
minecraft:recipes/decorations/chest,minecraft:recipes/decorations/chest§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:chest,null
minecraft:recipes/decorations/cobblestone_wall,minecraft:recipes/decorations/cobblestone_wall§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cobblestone_wall,null
minecraft:recipes/decorations/crafting_table,minecraft:recipes/decorations/crafting_table§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:crafting_table,null
minecraft:recipes/decorations/cyan_banner,minecraft:recipes/decorations/cyan_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_banner,null
minecraft:recipes/decorations/cyan_bed,minecraft:recipes/decorations/cyan_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_bed,null
minecraft:recipes/decorations/cyan_bed_from_white_bed,minecraft:recipes/decorations/cyan_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_bed_from_white_bed,null
minecraft:recipes/decorations/cyan_carpet,minecraft:recipes/decorations/cyan_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_carpet,null
minecraft:recipes/decorations/cyan_stained_glass_pane,minecraft:recipes/decorations/cyan_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_stained_glass_pane,null
minecraft:recipes/decorations/dark_oak_fence,minecraft:recipes/decorations/dark_oak_fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:dark_oak_fence,null
minecraft:recipes/decorations/enchanting_table,minecraft:recipes/decorations/enchanting_table§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:enchanting_table,null
minecraft:recipes/decorations/end_crystal,minecraft:recipes/decorations/end_crystal§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:end_crystal,null
minecraft:recipes/decorations/end_rod,minecraft:recipes/decorations/end_rod§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:end_rod,null
minecraft:recipes/decorations/ender_chest,minecraft:recipes/decorations/ender_chest§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:ender_chest,null
minecraft:recipes/decorations/fence,minecraft:recipes/decorations/fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:fence,null
minecraft:recipes/decorations/flower_pot,minecraft:recipes/decorations/flower_pot§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:flower_pot,null
minecraft:recipes/decorations/furnace,minecraft:recipes/decorations/furnace§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:furnace,null
minecraft:recipes/decorations/glass_pane,minecraft:recipes/decorations/glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:glass_pane,null
minecraft:recipes/decorations/gray_banner,minecraft:recipes/decorations/gray_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_banner,null
minecraft:recipes/decorations/gray_bed,minecraft:recipes/decorations/gray_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_bed,null
minecraft:recipes/decorations/gray_bed_from_white_bed,minecraft:recipes/decorations/gray_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_bed_from_white_bed,null
minecraft:recipes/decorations/gray_carpet,minecraft:recipes/decorations/gray_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_carpet,null
minecraft:recipes/decorations/gray_stained_glass_pane,minecraft:recipes/decorations/gray_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_stained_glass_pane,null
minecraft:recipes/decorations/green_banner,minecraft:recipes/decorations/green_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_banner,null
minecraft:recipes/decorations/green_bed,minecraft:recipes/decorations/green_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_bed,null
minecraft:recipes/decorations/green_bed_from_white_bed,minecraft:recipes/decorations/green_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_bed_from_white_bed,null
minecraft:recipes/decorations/green_carpet,minecraft:recipes/decorations/green_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_carpet,null
minecraft:recipes/decorations/green_stained_glass_pane,minecraft:recipes/decorations/green_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:green_stained_glass_pane,null
minecraft:recipes/decorations/iron_bars,minecraft:recipes/decorations/iron_bars§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_bars,null
minecraft:recipes/decorations/item_frame,minecraft:recipes/decorations/item_frame§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:item_frame,null
minecraft:recipes/decorations/jukebox,minecraft:recipes/decorations/jukebox§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:jukebox,null
minecraft:recipes/decorations/jungle_fence,minecraft:recipes/decorations/jungle_fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:jungle_fence,null
minecraft:recipes/decorations/ladder,minecraft:recipes/decorations/ladder§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:ladder,null
minecraft:recipes/decorations/light_blue_banner,minecraft:recipes/decorations/light_blue_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_banner,null
minecraft:recipes/decorations/light_blue_bed,minecraft:recipes/decorations/light_blue_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_bed,null
minecraft:recipes/decorations/light_blue_bed_from_white_bed,minecraft:recipes/decorations/light_blue_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_bed_from_white_bed,null
minecraft:recipes/decorations/light_blue_carpet,minecraft:recipes/decorations/light_blue_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_carpet,null
minecraft:recipes/decorations/light_blue_stained_glass_pane,minecraft:recipes/decorations/light_blue_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_stained_glass_pane,null
minecraft:recipes/decorations/light_gray_banner,minecraft:recipes/decorations/light_gray_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_banner,null
minecraft:recipes/decorations/light_gray_bed,minecraft:recipes/decorations/light_gray_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_bed,null
minecraft:recipes/decorations/light_gray_bed_from_white_bed,minecraft:recipes/decorations/light_gray_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_bed_from_white_bed,null
minecraft:recipes/decorations/light_gray_carpet,minecraft:recipes/decorations/light_gray_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_carpet,null
minecraft:recipes/decorations/light_gray_stained_glass_pane,minecraft:recipes/decorations/light_gray_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_stained_glass_pane,null
minecraft:recipes/decorations/lime_banner,minecraft:recipes/decorations/lime_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_banner,null
minecraft:recipes/decorations/lime_bed,minecraft:recipes/decorations/lime_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_bed,null
minecraft:recipes/decorations/lime_bed_from_white_bed,minecraft:recipes/decorations/lime_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_bed_from_white_bed,null
minecraft:recipes/decorations/lime_carpet,minecraft:recipes/decorations/lime_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_carpet,null
minecraft:recipes/decorations/lime_stained_glass_pane,minecraft:recipes/decorations/lime_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lime_stained_glass_pane,null
minecraft:recipes/decorations/magenta_banner,minecraft:recipes/decorations/magenta_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_banner,null
minecraft:recipes/decorations/magenta_bed,minecraft:recipes/decorations/magenta_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_bed,null
minecraft:recipes/decorations/magenta_bed_from_white_bed,minecraft:recipes/decorations/magenta_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_bed_from_white_bed,null
minecraft:recipes/decorations/magenta_carpet,minecraft:recipes/decorations/magenta_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_carpet,null
minecraft:recipes/decorations/magenta_stained_glass_pane,minecraft:recipes/decorations/magenta_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:magenta_stained_glass_pane,null
minecraft:recipes/decorations/mossy_cobblestone_wall,minecraft:recipes/decorations/mossy_cobblestone_wall§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:mossy_cobblestone_wall,null
minecraft:recipes/decorations/nether_brick_fence,minecraft:recipes/decorations/nether_brick_fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:nether_brick_fence,null
minecraft:recipes/decorations/orange_banner,minecraft:recipes/decorations/orange_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_banner,null
minecraft:recipes/decorations/orange_bed,minecraft:recipes/decorations/orange_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_bed,null
minecraft:recipes/decorations/orange_bed_from_white_bed,minecraft:recipes/decorations/orange_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_bed_from_white_bed,null
minecraft:recipes/decorations/orange_carpet,minecraft:recipes/decorations/orange_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_carpet,null
minecraft:recipes/decorations/orange_stained_glass_pane,minecraft:recipes/decorations/orange_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:orange_stained_glass_pane,null
minecraft:recipes/decorations/painting,minecraft:recipes/decorations/painting§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:painting,null
minecraft:recipes/decorations/pink_banner,minecraft:recipes/decorations/pink_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_banner,null
minecraft:recipes/decorations/pink_bed,minecraft:recipes/decorations/pink_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_bed,null
minecraft:recipes/decorations/pink_bed_from_white_bed,minecraft:recipes/decorations/pink_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_bed_from_white_bed,null
minecraft:recipes/decorations/pink_carpet,minecraft:recipes/decorations/pink_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_carpet,null
minecraft:recipes/decorations/pink_stained_glass_pane,minecraft:recipes/decorations/pink_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pink_stained_glass_pane,null
minecraft:recipes/decorations/purple_banner,minecraft:recipes/decorations/purple_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_banner,null
minecraft:recipes/decorations/purple_bed,minecraft:recipes/decorations/purple_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_bed,null
minecraft:recipes/decorations/purple_bed_from_white_bed,minecraft:recipes/decorations/purple_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_bed_from_white_bed,null
minecraft:recipes/decorations/purple_carpet,minecraft:recipes/decorations/purple_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_carpet,null
minecraft:recipes/decorations/purple_shulker_box,minecraft:recipes/decorations/purple_shulker_box§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_shulker_box,null
minecraft:recipes/decorations/purple_stained_glass_pane,minecraft:recipes/decorations/purple_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:purple_stained_glass_pane,null
minecraft:recipes/decorations/red_banner,minecraft:recipes/decorations/red_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_banner,null
minecraft:recipes/decorations/red_bed,minecraft:recipes/decorations/red_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_bed,null
minecraft:recipes/decorations/red_bed_from_white_bed,minecraft:recipes/decorations/red_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_bed_from_white_bed,null
minecraft:recipes/decorations/red_carpet,minecraft:recipes/decorations/red_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_carpet,null
minecraft:recipes/decorations/red_stained_glass_pane,minecraft:recipes/decorations/red_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:red_stained_glass_pane,null
minecraft:recipes/decorations/sign,minecraft:recipes/decorations/sign§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:sign,null
minecraft:recipes/decorations/slime,minecraft:recipes/decorations/slime§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:slime_ball
minecraft:slime",null
minecraft:recipes/decorations/snow_layer,minecraft:recipes/decorations/snow_layer§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:snow_layer,null
minecraft:recipes/decorations/spruce_fence,minecraft:recipes/decorations/spruce_fence§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:spruce_fence,null
minecraft:recipes/decorations/torch,minecraft:recipes/decorations/torch§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:torch,null
minecraft:recipes/decorations/white_banner,minecraft:recipes/decorations/white_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_banner,null
minecraft:recipes/decorations/white_bed,minecraft:recipes/decorations/white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_bed,null
minecraft:recipes/decorations/white_carpet,minecraft:recipes/decorations/white_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_carpet,null
minecraft:recipes/decorations/white_stained_glass_pane,minecraft:recipes/decorations/white_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:white_stained_glass_pane,null
minecraft:recipes/decorations/yellow_banner,minecraft:recipes/decorations/yellow_banner§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_banner,null
minecraft:recipes/decorations/yellow_bed,minecraft:recipes/decorations/yellow_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_bed,null
minecraft:recipes/decorations/yellow_bed_from_white_bed,minecraft:recipes/decorations/yellow_bed_from_white_bed§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_bed_from_white_bed,null
minecraft:recipes/decorations/yellow_carpet,minecraft:recipes/decorations/yellow_carpet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_carpet,null
minecraft:recipes/decorations/yellow_stained_glass_pane,minecraft:recipes/decorations/yellow_stained_glass_pane§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:yellow_stained_glass_pane,null
minecraft:recipes/food/beetroot_soup,minecraft:recipes/food/beetroot_soup§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:beetroot_soup,null
minecraft:recipes/food/bread,minecraft:recipes/food/bread§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bread,null
minecraft:recipes/food/cake,minecraft:recipes/food/cake§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cake,null
minecraft:recipes/food/cookie,minecraft:recipes/food/cookie§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cookie,null
minecraft:recipes/food/golden_apple,minecraft:recipes/food/golden_apple§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:golden_apple,null
minecraft:recipes/food/mushroom_stew,minecraft:recipes/food/mushroom_stew§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:mushroom_stew,null
minecraft:recipes/food/pumpkin_pie,minecraft:recipes/food/pumpkin_pie§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:pumpkin_pie,null
minecraft:recipes/food/rabbit_stew_from_brown_mushroom,minecraft:recipes/food/rabbit_stew_from_brown_mushroom§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:rabbit_stew_from_brown_mushroom,null
minecraft:recipes/food/rabbit_stew_from_red_mushroom,minecraft:recipes/food/rabbit_stew_from_red_mushroom§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:rabbit_stew_from_red_mushroom,null
minecraft:recipes/misc/beacon,minecraft:recipes/misc/beacon§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:beacon,null
minecraft:recipes/misc/bone_meal_from_block,minecraft:recipes/misc/bone_meal_from_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bone_meal_from_block,null
minecraft:recipes/misc/bone_meal_from_bone,minecraft:recipes/misc/bone_meal_from_bone§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bone_meal_from_bone,null
minecraft:recipes/misc/book,minecraft:recipes/misc/book§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:book,null
minecraft:recipes/misc/bowl,minecraft:recipes/misc/bowl§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bowl,null
minecraft:recipes/misc/bucket,minecraft:recipes/misc/bucket§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:bucket,null
minecraft:recipes/misc/coal,minecraft:recipes/misc/coal§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:coal,null
minecraft:recipes/misc/cyan_dye,minecraft:recipes/misc/cyan_dye§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:cyan_dye,null
minecraft:recipes/misc/diamond,minecraft:recipes/misc/diamond§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:diamond,null
minecraft:recipes/misc/emerald,minecraft:recipes/misc/emerald§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:emerald,null
minecraft:recipes/misc/ender_eye,minecraft:recipes/misc/ender_eye§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:ender_eye,null
minecraft:recipes/misc/fire_charge,minecraft:recipes/misc/fire_charge§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:fire_charge,null
minecraft:recipes/misc/gold_ingot_from_block,minecraft:recipes/misc/gold_ingot_from_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gold_ingot_from_block,null
minecraft:recipes/misc/gold_ingot_from_nuggets,minecraft:recipes/misc/gold_ingot_from_nuggets§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:gold_nugget
minecraft:gold_ingot_from_nuggets",null
minecraft:recipes/misc/gold_nugget,minecraft:recipes/misc/gold_nugget§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gold_nugget,null
minecraft:recipes/misc/gray_dye,minecraft:recipes/misc/gray_dye§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:gray_dye,null
minecraft:recipes/misc/iron_ingot_from_block,minecraft:recipes/misc/iron_ingot_from_block§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_ingot_from_block,null
minecraft:recipes/misc/iron_ingot_from_nuggets,minecraft:recipes/misc/iron_ingot_from_nuggets§r,,,,,,,,,,,minecraft:recipes/root,,0,,"minecraft:iron_nugget
minecraft:iron_ingot_from_nuggets",null
minecraft:recipes/misc/iron_nugget,minecraft:recipes/misc/iron_nugget§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:iron_nugget,null
minecraft:recipes/misc/lapis_lazuli,minecraft:recipes/misc/lapis_lazuli§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:lapis_lazuli,null
minecraft:recipes/misc/leather,minecraft:recipes/misc/leather§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:leather,null
minecraft:recipes/misc/light_blue_dye_from_blue_orchid,minecraft:recipes/misc/light_blue_dye_from_blue_orchid§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_dye_from_blue_orchid,null
minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal,minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_blue_dye_from_lapis_bonemeal,null
minecraft:recipes/misc/light_gray_dye_from_azure_bluet,minecraft:recipes/misc/light_gray_dye_from_azure_bluet§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_dye_from_azure_bluet,null
minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal,minecraft:recipes/misc/light_gray_dye_from_gray_bonemeal§r,,,,,,,,,,,minecraft:recipes/root,,0,,minecraft:light_gray_dye_from_gray_bonemeal,null
